MERGE_KEY,TIME,SYMBOL,PARTNER_SYMBOL,ID,ADDRESSESCOUNT,FROM,TO,TOTALVOLUME
1594512000_0.1_1.0,1594512000,BTC,BTC,1182,2279940,0.1,1.0,720422.57255983
1594512000_100000.0_0.0,1594512000,BTC,BTC,1182,1,100000.0,0.0,255502.15817886
1594512000_0.001_0.01,1594512000,BTC,BTC,1182,7292284,0.001,0.01,29551.714406
1594512000_1e-08_0.001,1594512000,BTC,BTC,1182,14649337,1e-08,0.001,2884.17342038
1594512000_1.0_10.0,1594512000,BTC,BTC,1182,665768,1.0,10.0,1735777.69114153
1594512000_100.0_1000.0,1594512000,BTC,BTC,1182,13904,100.0,1000.0,3506274.19369661
1594512000_0.01_0.1,1594512000,BTC,BTC,1182,5380900,0.01,0.1,173232.53428808
1594512000_10.0_100.0,1594512000,BTC,BTC,1182,110423,10.0,100.0,3078789.05234047
1594512000_1000.0_10000.0,1594512000,BTC,BTC,1182,2052,1000.0,10000.0,5111695.26830092
1594512000_10000.0_100000.0,1594512000,BTC,BTC,1182,103,10000.0,100000.0,2428558.75663828
1594598400_0.001_0.01,1594598400,BTC,BTC,1182,7309863,0.001,0.01,29613.75650276
1594598400_10.0_100.0,1594598400,BTC,BTC,1182,110484,10.0,100.0,3086238.36371529
1594598400_1e-08_0.001,1594598400,BTC,BTC,1182,14661780,1e-08,0.001,2885.6955464
1594598400_100000.0_0.0,1594598400,BTC,BTC,1182,1,100000.0,0.0,255502.15817886
1594598400_100.0_1000.0,1594598400,BTC,BTC,1182,13915,100.0,1000.0,3505197.00937071
1594598400_1000.0_10000.0,1594598400,BTC,BTC,1182,2048,1000.0,10000.0,5093648.50378371
1594598400_1.0_10.0,1594598400,BTC,BTC,1182,665878,1.0,10.0,1735480.58376698
1594598400_0.01_0.1,1594598400,BTC,BTC,1182,5391496,0.01,0.1,173550.25321243
1594598400_0.1_1.0,1594598400,BTC,BTC,1182,2282206,0.1,1.0,720938.61416602
1594598400_10000.0_100000.0,1594598400,BTC,BTC,1182,104,10000.0,100000.0,2440551.9267278
1594684800_10000.0_100000.0,1594684800,BTC,BTC,1182,103,10000.0,100000.0,2429422.89489189
1594684800_100.0_1000.0,1594684800,BTC,BTC,1182,13930,100.0,1000.0,3505305.46326997
1594684800_0.01_0.1,1594684800,BTC,BTC,1182,5407544,0.01,0.1,173908.47960246
1594684800_1e-08_0.001,1594684800,BTC,BTC,1182,14679260,1e-08,0.001,2887.76638189
1594684800_0.001_0.01,1594684800,BTC,BTC,1182,7350479,0.001,0.01,29776.07342678
1594684800_100000.0_0.0,1594684800,BTC,BTC,1182,1,100000.0,0.0,255502.15867178
1594684800_1.0_10.0,1594684800,BTC,BTC,1182,666116,1.0,10.0,1734839.84748864
1594684800_0.1_1.0,1594684800,BTC,BTC,1182,2289751,0.1,1.0,722421.75249486
1594684800_10.0_100.0,1594684800,BTC,BTC,1182,110344,10.0,100.0,3082413.13502898
1594684800_1000.0_10000.0,1594684800,BTC,BTC,1182,2051,1000.0,10000.0,5108079.29371371
1594771200_0.01_0.1,1594771200,BTC,BTC,1182,5419170,0.01,0.1,174217.77182556
1594771200_100.0_1000.0,1594771200,BTC,BTC,1182,13923,100.0,1000.0,3501341.65229247
1594771200_100000.0_0.0,1594771200,BTC,BTC,1182,1,100000.0,0.0,255502.15867178
1594771200_1000.0_10000.0,1594771200,BTC,BTC,1182,2055,1000.0,10000.0,5118736.23311686
1594771200_0.1_1.0,1594771200,BTC,BTC,1182,2295487,0.1,1.0,723478.02816517
1594771200_10.0_100.0,1594771200,BTC,BTC,1182,110511,10.0,100.0,3085539.30781215
1594771200_0.001_0.01,1594771200,BTC,BTC,1182,7364593,0.001,0.01,29837.77081374
1594771200_1.0_10.0,1594771200,BTC,BTC,1182,666653,1.0,10.0,1736372.37540603
1594771200_10000.0_100000.0,1594771200,BTC,BTC,1182,102,10000.0,100000.0,2417505.57622705
1594771200_1e-08_0.001,1594771200,BTC,BTC,1182,14685757,1e-08,0.001,2888.49064015
1594857600_1000.0_10000.0,1594857600,BTC,BTC,1182,2057,1000.0,10000.0,5132353.68690213
1594857600_10000.0_100000.0,1594857600,BTC,BTC,1182,101,10000.0,100000.0,2405304.88328482
1594857600_10.0_100.0,1594857600,BTC,BTC,1182,110421,10.0,100.0,3084343.46455901
1594857600_0.01_0.1,1594857600,BTC,BTC,1182,5436884,0.01,0.1,174738.03809659
1594857600_1.0_10.0,1594857600,BTC,BTC,1182,666814,1.0,10.0,1736218.45364508
1594857600_100.0_1000.0,1594857600,BTC,BTC,1182,13913,100.0,1000.0,3500998.19322907
1594857600_0.1_1.0,1594857600,BTC,BTC,1182,2299180,0.1,1.0,723960.52748795
1594857600_0.001_0.01,1594857600,BTC,BTC,1182,7395995,0.001,0.01,29954.99819022
1594857600_1e-08_0.001,1594857600,BTC,BTC,1182,14707098,1e-08,0.001,2894.96090431
1594857600_100000.0_0.0,1594857600,BTC,BTC,1182,1,100000.0,0.0,255502.15867178
1594944000_1e-08_0.001,1594944000,BTC,BTC,1182,14728911,1e-08,0.001,2901.50023982
1594944000_100.0_1000.0,1594944000,BTC,BTC,1182,13925,100.0,1000.0,3502452.30172652
1594944000_10000.0_100000.0,1594944000,BTC,BTC,1182,102,10000.0,100000.0,2415398.68110613
1594944000_0.01_0.1,1594944000,BTC,BTC,1182,5454692,0.01,0.1,175372.78354343
1594944000_100000.0_0.0,1594944000,BTC,BTC,1182,1,100000.0,0.0,255502.15867178
1594944000_0.001_0.01,1594944000,BTC,BTC,1182,7439646,0.001,0.01,30113.13198907
1594944000_10.0_100.0,1594944000,BTC,BTC,1182,110479,10.0,100.0,3084727.79562169
1594944000_1.0_10.0,1594944000,BTC,BTC,1182,667682,1.0,10.0,1738175.05536768
1594944000_1000.0_10000.0,1594944000,BTC,BTC,1182,2059,1000.0,10000.0,5116378.95649311
1594944000_0.1_1.0,1594944000,BTC,BTC,1182,2307568,0.1,1.0,725984.50021173
1595030400_10.0_100.0,1595030400,BTC,BTC,1182,110462,10.0,100.0,3084768.49555018
1595030400_100000.0_0.0,1595030400,BTC,BTC,1182,1,100000.0,0.0,255502.15867178
1595030400_100.0_1000.0,1595030400,BTC,BTC,1182,13909,100.0,1000.0,3502725.82697474
1595030400_0.001_0.01,1595030400,BTC,BTC,1182,7460494,0.001,0.01,30184.10075057
1595030400_10000.0_100000.0,1595030400,BTC,BTC,1182,102,10000.0,100000.0,2415958.49132268
1595030400_0.1_1.0,1595030400,BTC,BTC,1182,2303164,0.1,1.0,724482.67810265
1595030400_1.0_10.0,1595030400,BTC,BTC,1182,667072,1.0,10.0,1736926.13280993
1595030400_1e-08_0.001,1595030400,BTC,BTC,1182,14747036,1e-08,0.001,2906.38798958
1595030400_1000.0_10000.0,1595030400,BTC,BTC,1182,2061,1000.0,10000.0,5118948.20410508
1595030400_0.01_0.1,1595030400,BTC,BTC,1182,5463622,0.01,0.1,175416.88869377
1595116800_0.1_1.0,1595116800,BTC,BTC,1182,2296604,0.1,1.0,723095.89438594
1595116800_1.0_10.0,1595116800,BTC,BTC,1182,666958,1.0,10.0,1736302.72178339
1595116800_10.0_100.0,1595116800,BTC,BTC,1182,110619,10.0,100.0,3086877.83404491
1595116800_0.01_0.1,1595116800,BTC,BTC,1182,5427415,0.01,0.1,174280.67978862
1595116800_0.001_0.01,1595116800,BTC,BTC,1182,7443266,0.001,0.01,30107.74852466
1595116800_10000.0_100000.0,1595116800,BTC,BTC,1182,102,10000.0,100000.0,2418771.5826424
1595116800_1000.0_10000.0,1595116800,BTC,BTC,1182,2058,1000.0,10000.0,5118023.11719382
1595116800_100.0_1000.0,1595116800,BTC,BTC,1182,13905,100.0,1000.0,3502772.62451919
1595116800_1e-08_0.001,1595116800,BTC,BTC,1182,14745638,1e-08,0.001,2903.75341625
1595116800_100000.0_0.0,1595116800,BTC,BTC,1182,1,100000.0,0.0,255502.15867178
1595203200_10000.0_100000.0,1595203200,BTC,BTC,1182,102,10000.0,100000.0,2417291.43021888
1595203200_10.0_100.0,1595203200,BTC,BTC,1182,110678,10.0,100.0,3087700.14318284
1595203200_0.1_1.0,1595203200,BTC,BTC,1182,2297064,0.1,1.0,723933.57986635
1595203200_100000.0_0.0,1595203200,BTC,BTC,1182,1,100000.0,0.0,255502.15867178
1595203200_1e-08_0.001,1595203200,BTC,BTC,1182,14756928,1e-08,0.001,2905.90014379
1595203200_0.001_0.01,1595203200,BTC,BTC,1182,7459983,0.001,0.01,30178.3009892
1595203200_0.01_0.1,1595203200,BTC,BTC,1182,5420855,0.01,0.1,174056.80652147
1595203200_1.0_10.0,1595203200,BTC,BTC,1182,666982,1.0,10.0,1735465.61193395
1595203200_1000.0_10000.0,1595203200,BTC,BTC,1182,2058,1000.0,10000.0,5119232.05388007
1595203200_100.0_1000.0,1595203200,BTC,BTC,1182,13908,100.0,1000.0,3503253.37956263
1595289600_100000.0_0.0,1595289600,BTC,BTC,1182,1,100000.0,0.0,255502.15867178
1595289600_100.0_1000.0,1595289600,BTC,BTC,1182,13896,100.0,1000.0,3501192.765352
1595289600_1.0_10.0,1595289600,BTC,BTC,1182,667649,1.0,10.0,1737498.87510483
1595289600_10000.0_100000.0,1595289600,BTC,BTC,1182,101,10000.0,100000.0,2404542.15954939
1595289600_0.001_0.01,1595289600,BTC,BTC,1182,7469442,0.001,0.01,30195.50757153
1595289600_1e-08_0.001,1595289600,BTC,BTC,1182,14779558,1e-08,0.001,2912.85864712
1595289600_0.01_0.1,1595289600,BTC,BTC,1182,5449252,0.01,0.1,174984.12854599
1595289600_1000.0_10000.0,1595289600,BTC,BTC,1182,2060,1000.0,10000.0,5127466.14282602
1595289600_10.0_100.0,1595289600,BTC,BTC,1182,110671,10.0,100.0,3089160.19635028
1595289600_0.1_1.0,1595289600,BTC,BTC,1182,2308416,0.1,1.0,726845.82235202
1595376000_1.0_10.0,1595376000,BTC,BTC,1182,666928,1.0,10.0,1735640.8723754
1595376000_1000.0_10000.0,1595376000,BTC,BTC,1182,2061,1000.0,10000.0,5132475.84835307
1595376000_0.001_0.01,1595376000,BTC,BTC,1182,7505251,0.001,0.01,30340.6163631
1595376000_10.0_100.0,1595376000,BTC,BTC,1182,110487,10.0,100.0,3084211.33263493
1595376000_0.1_1.0,1595376000,BTC,BTC,1182,2308468,0.1,1.0,726750.62814424
1595376000_1e-08_0.001,1595376000,BTC,BTC,1182,14807409,1e-08,0.001,2920.56942174
1595376000_100.0_1000.0,1595376000,BTC,BTC,1182,13899,100.0,1000.0,3503183.59869168
1595376000_100000.0_0.0,1595376000,BTC,BTC,1182,1,100000.0,0.0,255502.15867178
1595376000_0.01_0.1,1595376000,BTC,BTC,1182,5465329,0.01,0.1,175351.83115881
