TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
1760158800,113102.18,113105.7,112170.52,112536.09,141430850.9
1760162400,112536.09,112884.15,112173.85,112199.44,133145850.41
1760166000,112199.44,112237.41,110231.89,110510.9,325417572.21
1760169600,110510.9,111646.69,110298.6,111451.08,241361195.38
1760173200,111451.08,111999.69,111389.03,111761.79,180948039.74
1760176800,111761.79,112383.68,111753.93,112224.97,161987363.84
1760180400,112224.97,112464.55,111798.01,112386.99,78362118.38
1760184000,112386.99,112599.7,112151.72,112503.05,100314299.56
1760187600,112503.05,112636.09,112024.31,112388.24,111786468.06
1760191200,112388.24,112468.41,112008.56,112107.54,111182937.44
1760194800,112107.54,112489.83,111924.06,111928.64,118331052.31
1760198400,111928.64,112204.78,111574.33,111970.21,131899944.82
1760202000,111970.21,112302.76,111843.17,112130.59,97584574.49
1760205600,112130.59,112162.42,111979.18,112085.49,55267947.17
1760209200,112085.49,112146.31,110991.95,111304.6,201377761.89
1760212800,111304.6,111473.76,109819.67,110390.25,339581602.43
1760216400,110390.25,111114.31,109711.01,111029.7,221023766.55
1760220000,111029.7,111437.58,110783.49,111177.3,119245883.96
1760223600,111177.3,111251.61,110779.65,110779.65,105026671.6
1760227200,110779.65,110808.72,109708.26,109774.74,167231824.06
1760230800,109774.74,110417.7,109764.61,110082.06,193726250.42
1760234400,110082.06,110814.25,109713.47,110224.42,208780503.55
1760238000,110224.42,111444.73,110109.57,110805.07,206544613.26
1760241600,110805.07,112056.57,110734.82,111629.76,118205203.77
1760245200,111629.76,111923.29,111302.54,111815.94,87379775.3
1760248800,111815.94,112228.35,111726.14,111800.64,84683777.81
1760252400,111800.64,112046.39,111600.66,111639.41,70140976.01
1760256000,111639.41,111911.39,111371.37,111387.25,94873247.86
1760259600,111387.25,111966.41,111210.14,111892.52,88666603.12
1760263200,111892.52,112074.76,111512.89,111724.21,79523129.0
1760266800,111724.21,112171.78,111543.17,111900.59,71449194.72
1760270400,111900.59,112284.92,111601.95,111838.94,114189703.39
1760274000,111838.94,111994.4,111306.61,111344.65,128337436.58
1760277600,111344.65,113015.83,111231.81,112396.74,275808994.18
1760281200,112396.74,113803.69,112158.13,113261.91,438554740.12
1760284800,113261.91,114780.08,113261.82,114171.53,404223640.8
1760288400,114171.53,114570.24,113641.51,113910.59,232922048.5
1760292000,113910.59,114345.25,113645.06,113965.36,168425647.36
1760295600,113965.36,114483.57,113912.21,114434.66,82264875.45
1760299200,114434.66,115542.67,114430.12,115030.51,291814356.27
1760302800,115030.51,115698.57,114351.77,114985.7,186778124.59
1760306400,114985.7,115849.48,114985.7,115345.28,228519758.51
1760310000,115345.28,115478.55,114852.69,115084.73,131807665.91
1760313600,115084.73,115996.5,114896.4,115407.92,241100799.0
1760317200,115407.92,115872.2,115214.51,115822.92,175618065.84
1760320800,115822.92,116064.34,115123.06,115437.94,123243634.54
1760324400,115437.94,115732.79,114738.23,114936.54,116655535.01
1760328000,114936.54,115108.17,114509.35,114803.07,130576740.41
1760331600,114803.07,114928.67,114613.95,114706.45,72991350.0
1760335200,114706.45,115434.62,114514.16,115300.53,110328451.06
1760338800,115300.53,115637.44,115106.41,115482.07,104773698.8
1760342400,115482.07,115521.57,115248.22,115362.97,96691696.03
1760346000,115362.97,115363.47,114879.49,115212.19,74532098.06
1760349600,115212.19,115243.72,114840.46,114927.85,84805015.16
1760353200,114927.85,114927.91,113754.71,114293.59,141927590.95
1760356800,114293.59,114841.46,114042.07,114507.42,172688949.27
1760360400,114507.42,115626.23,114327.35,115460.84,356436752.86
1760364000,115460.84,115579.99,113914.36,114125.49,296669093.85
1760367600,114125.49,114830.87,114078.8,114430.54,165389519.56
1760371200,114430.54,115281.34,114379.35,114767.57,163454457.39
1760374800,114767.57,115145.11,114333.16,115141.03,132462286.54
1760378400,115141.03,115470.88,114823.81,115267.61,150595327.14
1760382000,115267.61,115994.8,115181.16,115905.45,261505179.14
1760385600,115905.45,115993.07,115517.16,115828.56,91067485.92
1760389200,115828.56,115894.45,115675.24,115816.24,63750073.37
1760392800,115816.24,115942.19,115556.15,115618.16,48422313.25
1760396400,115618.16,115618.25,115113.1,115279.04,100293965.87
1760400000,115279.04,115514.54,114991.02,115068.31,91323639.86
1760403600,115068.31,115105.48,114243.74,114372.12,142167195.85
1760407200,114372.12,114395.39,113746.56,113747.36,145808998.91
1760410800,113747.36,113787.16,113377.79,113593.56,138759045.72
1760414400,113593.56,113688.82,112880.02,113151.64,143105360.76
1760418000,113151.64,113772.25,112488.33,112576.08,179503018.46
1760421600,112576.08,112788.43,111476.73,112067.12,157744219.33
1760425200,112067.12,112278.67,111580.53,111811.24,137923738.62
1760428800,111811.24,112238.54,111624.33,111925.25,98331669.14
1760432400,111925.25,112116.5,111169.04,111384.42,118013244.19
1760436000,111384.42,111432.59,110158.14,110726.78,253441068.85
1760439600,110726.78,111729.89,110714.51,111417.93,156041150.73
1760443200,111417.93,111463.46,110847.73,110901.51,160310091.38
1760446800,110901.51,111406.12,109983.29,111105.49,365233929.8
1760450400,111105.49,112288.34,111019.43,111494.05,348600985.55
1760454000,111494.05,112975.72,111152.52,112962.29,249560163.75
1760457600,112962.29,113252.05,112298.9,112414.99,286062754.63
1760461200,112414.99,113017.54,111800.66,112863.89,306744372.48
1760464800,112863.89,113549.18,112748.82,112929.28,256183632.56
1760468400,112929.28,113614.11,112121.83,112698.45,304407605.92
1760472000,112698.45,113067.02,112313.38,113062.22,121497619.24
1760475600,113062.22,113250.33,112779.23,113200.03,65888797.97
1760479200,113200.03,113639.17,112905.5,113284.07,93704088.22
1760482800,113284.07,113589.38,113078.4,113097.76,94944217.99
1760486400,113097.76,113188.64,112696.86,113064.26,112194953.02
1760490000,113064.26,113079.08,112408.83,112805.91,108746641.12
1760493600,112805.91,113679.91,112755.04,112891.18,136105540.4
1760497200,112891.18,112938.32,111904.25,112101.14,111508889.52
1760500800,112101.14,112543.77,111834.86,112416.8,86421733.84
1760504400,112416.8,112726.64,112263.49,112505.9,83794461.98
1760508000,112505.9,112645.49,111976.91,112526.47,79862366.15
1760511600,112526.47,112754.31,112319.15,112659.6,78439251.31
1760515200,112659.6,113574.88,112617.57,113037.8,111386742.03
1760518800,113037.8,113200.67,112478.29,112641.1,106809042.37
1760522400,112641.1,112730.63,112187.7,112360.38,90396097.11
1760526000,112360.38,112699.09,111807.5,112016.23,92930567.0
1760529600,112016.23,112187.68,111496.14,111808.76,121182149.65
1760533200,111808.76,112096.88,110869.49,111483.99,277114535.12
1760536800,111483.99,112326.89,110919.9,111165.49,282910841.43
1760540400,111165.49,111659.46,110455.81,110872.9,365057945.83
1760544000,110872.9,111189.94,110692.64,110830.98,179071793.5
1760547600,110830.98,111248.11,110229.66,111246.96,219166354.23
1760551200,111246.96,111557.66,110887.32,111502.42,118844071.25
1760554800,111502.42,111620.26,111150.94,111344.01,135151878.8
1760558400,111344.01,111627.67,110600.67,111182.86,160730071.56
1760562000,111182.86,111481.49,110567.93,110891.58,126227612.79
1760565600,110891.58,111441.77,110725.98,110732.08,98577267.17
1760569200,110732.08,111066.32,110653.05,110819.47,87601215.13
1760572800,110819.47,110915.01,110423.9,110505.43,138697662.3
1760576400,110505.43,111390.44,110495.75,111365.86,98307784.85
1760580000,111365.86,111619.36,111102.75,111582.89,95573909.26
1760583600,111582.89,111917.25,111340.48,111398.94,90159715.72
1760587200,111398.94,111740.76,110887.83,111040.53,75858254.53
1760590800,111040.53,111521.52,110807.97,111001.78,80089456.68
1760594400,111001.78,111767.71,110980.79,111725.43,76854046.75
1760598000,111725.43,111816.63,110580.95,110609.96,265314421.07
1760601600,110609.96,110946.44,110437.7,110865.42,111038541.94
1760605200,110865.42,111698.64,109419.93,111203.96,354324267.09
1760608800,111203.96,111755.5,111085.78,111525.14,108583428.77
1760612400,111525.14,111606.27,111064.33,111456.9,75204602.0
1760616000,111456.9,112027.41,111391.88,111581.33,153196545.26
1760619600,111581.33,111609.28,110736.08,110920.91,212935689.18
1760623200,110920.91,111480.43,109792.5,110590.64,384367218.06
1760626800,110590.64,110789.29,108427.49,108614.57,461198441.05
1760630400,108614.57,109320.56,107631.66,109286.26,590252811.23
1760634000,109286.26,109289.19,108279.25,108331.53,336775285.03
1760637600,108331.53,108713.57,107749.64,108707.07,315926509.6
1760641200,108707.07,108803.33,107750.48,108260.05,391488399.84
1760644800,108260.05,108478.83,107501.51,107884.56,219237854.9
1760648400,107884.56,108501.39,107643.74,108467.03,116823403.26
1760652000,108467.03,108533.42,107806.61,107828.08,91123280.06
1760655600,107828.08,108450.26,107768.84,108212.4,88449184.91
1760659200,108212.4,108851.08,107959.51,108817.31,123538963.72
1760662800,108817.31,109136.89,108552.94,108872.12,114956973.18
1760666400,108872.12,109107.03,108436.69,109019.02,112226292.09
1760670000,109019.02,109270.68,108947.34,109221.19,68266923.72
1760673600,109221.19,109278.91,108824.44,108827.45,64095037.54
1760677200,108827.45,108954.52,108340.74,108419.27,86816735.38
1760680800,108419.27,108540.81,106690.85,106781.36,259725211.98
1760684400,106781.36,106922.58,105547.97,105631.45,267297518.93
1760688000,105631.45,105711.81,104518.84,104899.27,411116408.52
1760691600,104899.27,105635.75,104542.17,104542.17,222226218.02
1760695200,104542.17,104905.24,103552.05,104760.03,382293809.13
1760698800,104760.03,106588.98,104680.34,105697.4,379474370.61
1760702400,105697.4,106080.09,105257.71,105368.56,214484797.69
1760706000,105368.56,106191.83,104930.02,105874.12,385310216.11
1760709600,105874.12,106027.8,104564.78,105194.18,482791240.93
1760713200,105194.18,106866.07,105128.65,106827.1,306260588.59
1760716800,106827.1,107584.51,106274.59,106404.35,324136976.58
1760720400,106404.35,106754.94,106109.63,106482.98,197102167.67
1760724000,106482.98,107127.31,106482.97,106685.25,181849796.33
1760727600,106685.25,106923.54,106288.76,106498.08,182866007.57
1760731200,106498.08,107215.09,106387.36,107062.91,107324914.25
1760734800,107062.91,107500.61,107050.29,107362.57,96033505.41
1760738400,107362.57,107471.23,106883.86,107042.07,75963113.98
1760742000,107042.07,107042.17,106445.38,106485.41,78356256.7
1760745600,106485.41,106893.27,106382.73,106892.06,74641342.65
1760749200,106892.06,107356.83,106883.72,107207.82,70359501.57
1760752800,107207.82,107353.6,106556.84,106647.74,90345121.67
1760756400,106647.74,107184.37,106641.34,107133.86,52565145.03
1760760000,107133.86,107143.66,106506.23,106531.46,79171924.45
1760763600,106531.46,106899.23,106531.31,106878.09,42981918.17
1760767200,106878.09,107005.03,106774.71,106916.41,34767656.36
1760770800,106916.41,107544.75,106700.96,106750.91,82116060.99
1760774400,106750.91,107025.78,106691.63,106781.47,54842045.08
1760778000,106781.47,107005.13,106697.72,106960.53,41223402.55
1760781600,106960.53,107194.48,106856.34,106972.51,37449579.92
1760785200,106972.51,107284.49,106833.28,107267.94,38708167.07
1760788800,107267.94,107363.38,107027.57,107126.38,47503306.31
1760792400,107126.38,107151.21,106870.88,106953.41,45099365.36
1760796000,106953.41,107169.32,106804.08,107088.2,61644948.52
1760799600,107088.2,107208.09,106888.23,107008.43,57471616.25
1760803200,107008.43,107111.24,106536.55,106714.1,70777384.7
1760806800,106714.1,106999.09,106627.84,106929.12,45490621.94
1760810400,106929.12,106968.34,106783.49,106900.34,29320354.24
1760814000,106900.34,107146.38,106831.74,107130.02,37812380.34
1760817600,107130.02,107394.29,107062.63,107079.99,63108959.09
1760821200,107079.99,107279.6,106908.9,107228.19,46190456.96
1760824800,107228.19,107345.63,107134.69,107177.82,35853283.54
1760828400,107177.82,107245.24,107066.3,107228.76,24430638.96
1760832000,107228.76,107311.74,106811.67,106951.08,72847478.46
1760835600,106951.08,107041.88,106802.35,107023.96,35834731.13
1760839200,107023.96,107046.25,106859.63,106898.48,34769152.25
1760842800,106898.48,107400.82,106858.67,107316.31,44165898.69
1760846400,107316.31,107332.8,107045.93,107089.56,35632329.8
1760850000,107089.56,107224.59,106857.84,106937.77,34320651.62
1760853600,106937.77,106960.43,106612.17,106822.83,46273403.82
1760857200,106822.83,106963.8,106748.79,106828.98,24894795.85
1760860800,106828.98,107238.48,106331.38,106497.36,108422364.91
1760864400,106497.36,108219.59,106146.21,107436.73,246118082.25
1760868000,107436.73,107923.84,107063.05,107918.6,118897771.66
1760871600,107918.6,108277.87,107694.08,107838.09,85494123.2
1760875200,107838.09,107903.53,107500.32,107649.21,65304846.38
1760878800,107649.21,108260.43,107423.47,108128.55,97285700.87
1760882400,108128.55,108550.98,107935.99,108458.7,130066959.31
1760886000,108458.7,108662.48,108384.72,108536.61,75912711.74
1760889600,108536.61,109011.62,108309.98,108682.73,95994629.15
1760893200,108682.73,109478.14,108676.26,109169.08,156252450.26
1760896800,109169.08,109508.08,109117.2,109450.37,94659460.52
1760900400,109450.37,109450.77,108875.97,108977.04,77386898.12
1760904000,108977.04,109050.87,108878.22,108913.97,50984161.34
1760907600,108913.97,108983.49,108681.03,108800.83,46669343.68
1760911200,108800.83,109416.14,108800.13,109205.57,95811815.08
1760914800,109205.57,109205.69,108530.96,108701.79,82837594.32
1760918400,108701.79,108701.79,107486.38,108111.1,183722296.64
1760922000,108111.1,108332.9,107967.38,108117.67,108787398.76
1760925600,108117.67,109005.36,107918.82,108831.33,105032622.14
1760929200,108831.33,110461.99,108619.19,110192.73,176557125.29
1760932800,110192.73,110561.75,109999.8,110470.63,154773038.96
1760936400,110470.63,111152.05,110344.08,111066.23,130828767.06
1760940000,111066.23,111413.34,111043.78,111346.95,127563658.79
1760943600,111346.95,111456.62,111114.54,111236.63,79538776.83
