TYPE,MARKET,FROMSYMBOL,TOSYMBOL,FLAGS,LASTMARKET,MEDIAN,TOPTIERVOLUME24HOUR,TOPTIERVOLUME24HOURTO,LASTTRADEID,PRICE,LASTUPDATE,LASTVOLUME,LASTVOLUMETO,VOLUMEHOUR,VOLUMEHOURTO,OPENHOUR,HIGHHOUR,LOWHOUR,VOLUMEDAY,VOLUMEDAYTO,OPENDAY,HIGHDAY,LOWDAY,VOLUME24HOUR,VOLUME24HOURTO,OPEN24HOUR,HIGH24HOUR,LOW24HOUR,CHANGE24HOUR,CHANGEPCT24HOUR,CHANGEDAY,CHANGEPCTDAY,CHANGEHOUR,CHANGEPCTHOUR,CONVERSIONTYPE,CONVERSIONSYMBOL,CONVERSIONLASTUPDATE,SUPPLY,MKTCAP,MKTCAPPENALTY,CIRCULATINGSUPPLY,CIRCULATINGSUPPLYMKTCAP,TOTALVOLUME24H,TOTALVOLUME24HTO,TOTALTOPTIERVOLUME24H,TOTALTOPTIERVOLUME24HTO,IMAGEURL,FETCHED_AT
5,CCCAGG,BTC,USD,2,CCCAGG,89323.1353098756,13444.48701923,1193308835.0721,980177920,89323.1353098756,1767358800,0.00055757,49.7999276957,0.00393757,351.6909144957,89323.0903301816,89323.1353101674,89323.0847421847,9178.2271753,817144623.537515,88742.6773204123,89836.7110224591,88289.331392005,13444.48701923,1193308835.0721,87802.8803939688,89836.7110224591,87706.4675708262,1520.2549159068003,1.7314408241340875,580.4579894632916,0.6540911396751116,0.04497969399380963,5.035617758806016e-05,direct,,1767358800,19970515.0,1783829013552.9,0,19970515.0,1783829013552.9001,152518.12469772,13615802191.464474,76517.1770383673,6827159260.00934,/media/37746251/btc.png,2026-01-02 05:00:03.168206-08:00
5,CCCAGG,BTC,USD,1,CCCAGG,91299.0690003498,9694.09743359,881120887.560269,982007065,91299.0690003498,1767529681,0.000999,91.190718,138.16384952,12605532.0289632,91268.0443666704,91303.9712723666,91169.4073179022,6133.28465309,559860192.777672,90598.8695543287,91750.6044352386,90598.6202335357,9694.09743359,881120887.560269,89988.6691126896,91750.6044352386,89876.225236781,1310.3998876601981,1.45618320682044,700.199446021099,0.7728567138480861,31.024633679407998,0.033992876580948954,direct,,1767529681,19971390.0,1823369313642.896,0,19971390.0,1823369313642.896,136943.083806002,12498834874.599682,61894.1125038753,5646933665.281547,/media/37746251/btc.png,2026-01-04 04:28:04.203243-08:00
5,CCCAGG,BTC,USD,1,CCCAGG,93686.0860169936,28335.28866917,2653333765.15223,984168280,93686.0860169936,1767680691,0.00026322,24.662082036,174.28428584,16321558.7833686,93580.5315852343,93779.0310883859,93531.6548772273,3601.81472749,337717896.582956,93871.4502631699,94163.7405442767,93520.1312270552,28335.28866917,2653333765.15223,92438.3731015924,94804.3784310233,92281.0129712851,1247.7129154012073,1.349778099220694,-185.36424617629382,-0.19746605134641323,105.55443175930122,0.11279528975870472,direct,,1767680691,19972181.0,1871115467112.9653,0,19972181.0,1871115467112.9653,252166.421522361,23623196530.917404,134534.13840641,12602688336.541075,/media/37746251/btc.png,2026-01-05 22:25:05.210605-08:00
5,CCCAGG,BTC,USD,2,CCCAGG,90633.2536078812,22470.36812816,2038853684.41982,989326309,90633.2536078812,1768048050,5.409e-05,4.901603346,73.28319491,6642640.37372307,90622.1181045693,90678.9900335355,90602.9863756616,2741.38203187,248198099.348164,90524.7109642089,90713.6507801105,90295.2602985506,22470.36812816,2038853684.41982,90356.0682583734,91948.9136015396,89752.9725351654,277.18534950779576,0.30677004306471545,108.54264367229189,0.119903883167555,11.135503311903449,0.012287842686543851,direct,,1768048050,19974062.0,1810314226825.5427,0,19974062.0,1810314226825.5427,169963.386111309,15406625788.678345,93932.8626429945,8515732073.234634,/media/37746251/btc.png,2026-01-10 04:27:35.119130-08:00
5,CCCAGG,BTC,USD,1,CCCAGG,90442.7489436941,8694.05851902,786170689.270572,989410343,90442.7489436941,1768069236,0.00552855,499.9799478,95.229382,8612303.18721074,90436.7132366114,90465.6346593027,90402.078896556,3835.40935843,347247857.188317,90524.7109642089,90713.6507801105,90295.2602985506,8694.05851902,786170689.270572,90732.7273588475,90732.9537778652,90015.2299584128,-289.97841515341133,-0.3195962731358753,-81.96202051480941,-0.09054104635276333,6.035707082701265,0.006673956700427539,direct,,1768069236,19974159.0,1806517847798.4282,0,19974159.0,1806517847798.428,85771.5307601617,7757269160.3907,42624.0876495076,3854895795.5714893,/media/37746251/btc.png,2026-01-10 10:20:40.142009-08:00
5,CCCAGG,BTC,USD,2,CCCAGG,90740.0062801685,3948.8279846,357504554.067487,989660969,90740.0062801685,1768134515,0.00028,25.40076,153.46483293,13915213.0270188,90630.7173945499,90740.0062824275,90601.8114795933,2020.78224433,183068473.363273,90391.7647042446,90742.6449037791,90335.6788099121,3948.8279846,357504554.067487,90624.0598648254,90742.6449037791,90279.1996613161,115.94641534310358,0.12794219936300466,348.24157592389383,0.3852580786129305,109.28888561860367,0.12058702475323867,direct,,1768134515,19974493.0,1812485620263.1816,0,19974493.0,1812485620263.1816,61903.3613264748,5616299273.47344,26295.2580785859,2385219761.1351137,/media/37746251/btc.png,2026-01-11 04:28:45.775964-08:00
5,CCCAGG,BTC,USD,2,CCCAGG,96630.9354145173,47278.43841265,4577605539.29494,996560654,96630.9354145173,1768480318,6.148e-05,5.9408234664,341.99161729,33041853.5367474,96569.6050566261,96682.3625814772,96502.921714613,10767.93633279,1038913968.51261,96945.088402564,97178.673600432,95746.034628309,47278.43841265,4577605539.29494,95039.4499372426,97943.2224912141,94859.5164105769,1591.4854772746912,1.6745524919658066,-314.15298804669874,-0.32405250562275006,61.33035789120186,0.06350896625831617,direct,,1768480318,19976153.0,1930314350373.5159,0,19976153.0,1930314350373.5159,323454.623698429,31264768662.67281,171968.22573119903,16626496324.523548,/media/37746251/btc.png,2026-01-15 04:32:05.565225-08:00
5,CCCAGG,BTC,USD,1,CCCAGG,95445.5307871942,31749.47424488,3053184730.59811,997562717,95445.5307871942,1768525912,0.01047,999.5079753,100.49359188,9597982.22647837,95609.8130111672,95611.1405709283,95429.9330117394,667.73024516,63883325.7132392,95583.8631834761,95810.4781398087,95429.9330117394,31749.47424488,3053184730.59811,96433.2789934589,97178.673600432,95102.9786366989,-987.7482062646886,-1.024281468570293,-138.33239628189767,-0.14472358793069964,-164.28222397300124,-0.17182569319930907,direct,,1768525912,19976375.0,1906655715079.0366,0,19976375.0,1906655715079.0366,265009.84838976,25316844952.475697,129283.520110351,12362373508.050535,/media/37746251/btc.png,2026-01-15 17:11:57.881392-08:00
5,CCCAGG,BTC,USD,1,CCCAGG,95524.7149173493,28597.23310259,2743519534.60993,997930766,95524.7149173493,1768566652,7.54e-06,0.7202100932,229.69610712,21927065.7272983,95392.7163299987,95548.6237232436,95375.2859095964,6490.66666504,619943924.014428,95583.8631834761,95835.5042863193,95123.1230109939,28597.23310259,2743519534.60993,96962.9739706259,97130.6068554459,95102.9786366989,-1438.2590532766044,-1.4833074877760173,-59.148266126809176,-0.061881016477930276,131.99858735059388,0.1383738637800835,direct,,1768566652,19976546.0,1908253861683.3145,0,19976546.0,1908253861683.3145,243212.342764383,23244566702.00836,118129.031648402,11296019066.736168,/media/37746251/btc.png,2026-01-16 04:31:02.779069-08:00
5,CCCAGG,BTC,USD,2,CCCAGG,89396.6927848998,24610.92082821,2206875318.53979,1007265010,89396.6927848998,1769216974,3.434e-05,3.069267992,34.83851587,3114069.2337278,89354.4946479584,89398.1384383181,89350.2653970597,330.74842565,29576437.4106541,89506.6566970345,89534.4747871698,89320.8674260306,24610.92082821,2206875318.53979,89859.0035916306,91140.224928382,88466.0608611977,-462.3108067307912,-0.5144846796118386,-109.96391213469906,-0.1228555687281551,42.19813694139884,0.047225533654073434,direct,,1769216974,19979915.0,1786138323123.4111,0,19979915.0,1786138323123.4114,214824.780963725,19211365336.504322,112404.600038746,10055339887.380121,/media/37746251/btc.png,2026-01-23 17:09:36.953291-08:00
